medicine_id,generic_name,brand_name,drug_class,dosage_form,strength_mg,common_use,manufacturer,price_inr,requires_prescription
MED00017,Salbutamol,Salbutamol-MAN,Bronchodilator,Capsule,100,Asthma and COPD,Mankind Pharma,2369.46,True
MED00018,Levothyroxine,Levothyroxine XR-TOR,Thyroid Hormone,Inhaler,N/A,Hypothyroidism,Torrent Pharma,1237.03,True
MED00019,Carbimazole,Carbimazole-Forte-ALK,Antithyroid,Inhaler,N/A,Hyperthyroidism,Alkem Labs,1046.82,True
MED00020,Prednisolone,Prednisolone-GLE,Corticosteroid,Injection,5,Inflammation and autoimmune conditions,Glenmark,545.11,False
MED00021,Metronidazole,Metronidazole-Forte-SUN,Antibiotic/Antiprotozoal,Syrup,25,Anaerobic and parasitic infections,Sun Pharma,1165.6,True
MED00022,Doxycycline,Doxycycline-Plus-CIP,Antibiotic (Tetracycline),Ointment,N/A,Bacterial infections,Cipla,194.5,True
MED00023,Fluconazole,Fluconazole DS-DR.,Antifungal,Tablet,100,Fungal infections,Dr. Reddy's,89.27,True
MED00024,Acyclovir,Acyclovir-Forte-LUP,Antiviral,Eye Drops,N/A,Herpes virus infections,Lupin,726.31,True
MED00025,Oseltamivir,Oseltamivir-AUR,Antiviral,Capsule,10,Influenza,Aurobindo Pharma,1060.36,True
MED00026,Artemether-Lumefantrine,Artemether-Lumefantrine-Plus-ZYD,Antimalarial,Eye Drops,N/A,Malaria treatment,Zydus Cadila,1866.89,True
MED00027,Chloroquine,Chloroquine-Plus-MAN,Antimalarial,Eye Drops,N/A,Malaria prevention and treatment,Mankind Pharma,1691.85,True
MED00028,Ondansetron,Ondansetron DS-TOR,Antiemetic,Powder,10,Nausea and vomiting,Torrent Pharma,2495.43,True
MED00029,Domperidone,Domperidone DS-ALK,Antiemetic/Prokinetic,Syrup,125,Nausea and GI motility,Alkem Labs,1693.11,True
MED00030,Loperamide,Loperamide-GLE,Antidiarrheal,Capsule,25,Diarrhea,Glenmark,279.27,True
MED00031,Oral Rehydration Salts,Oral XR-SUN,Electrolyte Replacement,Capsule,500,Dehydration,Sun Pharma,178.72,True
MED00032,Diazepam,Diazepam DS-CIP,Benzodiazepine,Powder,10,Anxiety and seizures,Cipla,1607.63,True
MED00033,Sertraline,Sertraline-DR.,SSRI Antidepressant,Tablet,25,Depression and anxiety,Dr. Reddy's,1407.13,False
MED00034,Fluoxetine,Fluoxetine-LUP,SSRI Antidepressant,Ointment,N/A,Depression,Lupin,1735.16,True
MED00035,Escitalopram,Escitalopram-Plus-AUR,SSRI Antidepressant,Tablet,1000,Anxiety and depression,Aurobindo Pharma,1345.71,True
MED00036,Risperidone,Risperidone DS-ZYD,Antipsychotic,Eye Drops,N/A,Schizophrenia and bipolar disorder,Zydus Cadila,2025.94,True
MED00037,Sodium Valproate,Sodium-MAN,Anticonvulsant,Cream,N/A,Epilepsy and bipolar disorder,Mankind Pharma,236.82,True
MED00038,Levetiracetam,Levetiracetam-TOR,Anticonvulsant,Tablet,50,Epilepsy,Torrent Pharma,264.96,False
MED00039,Gabapentin,Gabapentin DS-ALK,Anticonvulsant/Analgesic,Powder,10,Nerve pain and seizures,Alkem Labs,2348.75,False
MED00040,Warfarin,Warfarin-Plus-GLE,Anticoagulant,Powder,25,Blood clot prevention,Glenmark,1448.88,True
MED00041,Clopidogrel,Clopidogrel-Forte-SUN,Antiplatelet,Ointment,N/A,Stroke and heart attack prevention,Sun Pharma,1167.15,True
MED00042,Furosemide,Furosemide XR-CIP,Diuretic,Capsule,50,Fluid retention and heart failure,Cipla,1374.95,True
MED00043,Hydrochlorothiazide,Hydrochlorothiazide-DR.,Diuretic,Inhaler,N/A,High blood pressure,Dr. Reddy's,1341.58,True
MED00044,Spironolactone,Spironolactone-LUP,Diuretic,Injection,125,Heart failure and fluid retention,Lupin,1116.17,True
MED00045,Diclofenac,Diclofenac-AUR,NSAID,Eye Drops,N/A,Pain and inflammation,Aurobindo Pharma,206.84,True
MED00046,Tramadol,Tramadol-Plus-ZYD,Opioid Analgesic,Tablet,250,Moderate to severe pain,Zydus Cadila,1180.33,False
MED00047,Morphine,Morphine-MAN,Opioid Analgesic,Tablet,250,Severe pain,Mankind Pharma,623.54,False
MED00048,Methotrexate,Methotrexate-TOR,Antimetabolite/DMARD,Syrup,1000,Rheumatoid arthritis and cancer,Torrent Pharma,1854.07,True
MED00049,Hydroxychloroquine,Hydroxychloroquine-ALK,Antimalarial/DMARD,Capsule,125,Lupus and rheumatoid arthritis,Alkem Labs,863.03,True
MED00050,Allopurinol,Allopurinol-GLE,Antigout,Tablet,50,Gout management,Glenmark,60.47,True
MED00051,Calcium Carbonate,Calcium DS-SUN,Mineral Supplement,Cream,N/A,Calcium deficiency,Sun Pharma,1091.5,True
MED00052,Ferrous Sulfate,Ferrous-CIP,Iron Supplement,Injection,100,Iron deficiency anemia,Cipla,1785.04,True
MED00053,Folic Acid,Folic-Plus-DR.,Vitamin Supplement,Capsule,1000,Anemia and pregnancy,Dr. Reddy's,2415.47,True
MED00054,Vitamin D3,Vitamin-Forte-LUP,Vitamin Supplement,Cream,N/A,Vitamin D deficiency,Lupin,2349.45,True
MED00055,Vitamin B12,Vitamin DS-AUR,Vitamin Supplement,Powder,25,B12 deficiency,Aurobindo Pharma,963.39,True
MED00056,Multivitamin,Multivitamin-ZYD,Vitamin Supplement,Injection,500,General nutritional support,Zydus Cadila,1239.24,True
MED00057,Clotrimazole,Clotrimazole-MAN,Antifungal (Topical),Tablet,500,Skin fungal infections,Mankind Pharma,1071.79,True
MED00058,Hydrocortisone Cream,Hydrocortisone-Forte-TOR,Corticosteroid (Topical),Ointment,N/A,Skin inflammation,Torrent Pharma,2442.25,True
MED00059,Benzoyl Peroxide,Benzoyl-Forte-ALK,Topical Antiacne,Syrup,650,Acne treatment,Alkem Labs,451.84,True
MED00060,Salicylic Acid,Salicylic-Forte-GLE,Keratolytic,Ointment,N/A,Acne and skin conditions,Glenmark,1464.45,True
MED00061,Latanoprost,Latanoprost DS-SUN,Antiglaucoma,Eye Drops,N/A,Glaucoma,Sun Pharma,1601.56,True
MED00062,Timolol Eye Drops,Timolol-Plus-CIP,Antiglaucoma,Tablet,650,Glaucoma,Cipla,2163.24,True
MED00063,Artificial Tears,Artificial XR-DR.,Ocular Lubricant,Tablet,250,Dry eyes,Dr. Reddy's,1510.54,True
MED00064,Chlorpheniramine,Chlorpheniramine-Plus-LUP,Antihistamine,Inhaler,N/A,Allergy and cold symptoms,Lupin,2355.73,False
MED00065,Dextromethorphan,Dextromethorphan-AUR,Antitussive,Powder,10,Cough suppression,Aurobindo Pharma,268.2,True
MED00066,Guaifenesin,Guaifenesin-ZYD,Expectorant,Injection,5,Chest congestion,Zydus Cadila,1562.85,True
MED00067,Pantoprazole,Pantoprazole XR-MAN,Proton Pump Inhibitor,Powder,250,Acid reflux and ulcers,Mankind Pharma,2331.35,False
MED00068,Rabeprazole,Rabeprazole-TOR,Proton Pump Inhibitor,Ointment,N/A,Acid reflux,Torrent Pharma,1288.01,False
MED00069,Simvastatin,Simvastatin-Plus-ALK,Statin,Ointment,N/A,Cholesterol management,Alkem Labs,939.07,False
MED00070,Rosuvastatin,Rosuvastatin-GLE,Statin,Injection,100,Cholesterol management,Glenmark,2159.58,False
MED00071,Enalapril,Enalapril-SUN,Antihypertensive (ACE Inhibitor),Powder,100,High blood pressure,Sun Pharma,2344.04,True
MED00072,Ramipril,Ramipril DS-CIP,Antihypertensive (ACE Inhibitor),Eye Drops,N/A,High blood pressure and heart failure,Cipla,2289.76,False
MED00073,Digoxin,Digoxin DS-DR.,Cardiac Glycoside,Syrup,500,Heart failure and arrhythmia,Dr. Reddy's,2305.45,True
MED00074,Amiodarone,Amiodarone-LUP,Antiarrhythmic,Capsule,25,Irregular heartbeat,Lupin,971.95,True
MED00075,Heparin,Heparin-Plus-AUR,Anticoagulant,Cream,N/A,Blood clot prevention (acute),Aurobindo Pharma,453.24,False
MED00076,Insulin Regular,Insulin-Forte-ZYD,Antidiabetic (Insulin),Ointment,N/A,Diabetes mellitus,Zydus Cadila,426.03,True
MED00077,Glimepiride,Glimepiride-MAN,Antidiabetic (Sulfonylurea),Inhaler,N/A,Type 2 diabetes,Mankind Pharma,1544.22,True
MED00078,Pioglitazone,Pioglitazone DS-TOR,Antidiabetic (Thiazolidinedione),Syrup,50,Type 2 diabetes,Torrent Pharma,2004.75,True
MED00079,Montelukast,Montelukast-Forte-ALK,Leukotriene Antagonist,Ointment,N/A,Asthma and allergies,Alkem Labs,2159.14,True
MED00080,Budesonide Inhaler,Budesonide DS-GLE,Corticosteroid (Inhaled),Eye Drops,N/A,Asthma and COPD,Glenmark,1801.81,True
MED00081,Ipratropium Bromide,Ipratropium XR-SUN,Bronchodilator (Anticholinergic),Injection,650,COPD,Sun Pharma,1895.87,True
MED00082,Isoniazid,Isoniazid-CIP,Antitubercular,Syrup,1000,Tuberculosis,Cipla,133.47,True
MED00083,Rifampicin,Rifampicin-Plus-DR.,Antitubercular,Eye Drops,N/A,Tuberculosis,Dr. Reddy's,437.37,True
MED00084,Ethambutol,Ethambutol-Forte-LUP,Antitubercular,Injection,650,Tuberculosis,Lupin,1723.32,False
MED00085,Pyrazinamide,Pyrazinamide XR-AUR,Antitubercular,Syrup,5,Tuberculosis,Aurobindo Pharma,2326.8,True
MED00086,Zidovudine,Zidovudine-ZYD,Antiretroviral,Tablet,500,HIV management,Zydus Cadila,808.86,True
MED00087,Tenofovir,Tenofovir-Plus-MAN,Antiretroviral,Ointment,N/A,HIV and Hepatitis B,Mankind Pharma,1840.23,True
MED00088,Lamivudine,Lamivudine-Plus-TOR,Antiretroviral,Syrup,5,HIV management,Torrent Pharma,292.24,True
MED00089,Paracetamol,Paracetamol-ALK,Analgesic/Antipyretic,Injection,5,Fever and pain relief,Alkem Labs,1484.29,True
MED00090,Ibuprofen,Ibuprofen-GLE,NSAID,Tablet,25,Pain and inflammation relief,Glenmark,2476.85,True
MED00091,Aspirin,Aspirin-Plus-SUN,NSAID/Antiplatelet,Injection,50,Pain relief and blood thinning,Sun Pharma,417.66,True
MED00092,Amoxicillin,Amoxicillin XR-CIP,Antibiotic (Penicillin),Syrup,50,Bacterial infections,Cipla,2474.18,True
MED00093,Azithromycin,Azithromycin-DR.,Antibiotic (Macrolide),Eye Drops,N/A,Respiratory and skin infections,Dr. Reddy's,239.51,True
MED00094,Ciprofloxacin,Ciprofloxacin XR-LUP,Antibiotic (Fluoroquinolone),Injection,5,Urinary and GI infections,Lupin,712.21,True
MED00095,Metformin,Metformin-Forte-AUR,Antidiabetic (Biguanide),Syrup,100,Type 2 diabetes management,Aurobindo Pharma,249.91,True
MED00096,Insulin Glargine,Insulin-ZYD,Antidiabetic (Insulin),Powder,50,Diabetes mellitus,Zydus Cadila,2495.91,True
MED00097,Amlodipine,Amlodipine-Plus-MAN,Antihypertensive (CCB),Injection,1000,High blood pressure,Mankind Pharma,312.57,True
MED00098,Losartan,Losartan-TOR,Antihypertensive (ARB),Eye Drops,N/A,High blood pressure,Torrent Pharma,1175.57,False
MED00099,Atenolol,Atenolol-ALK,Antihypertensive (Beta-blocker),Powder,1000,High blood pressure and arrhythmia,Alkem Labs,1184.92,True
MED00100,Atorvastatin,Atorvastatin-GLE,Statin,Powder,100,Cholesterol management,Glenmark,2309.08,True
MED00101,Omeprazole,Omeprazole DS-SUN,Proton Pump Inhibitor,Ointment,N/A,Acid reflux and ulcers,Sun Pharma,45.57,True
MED00102,Ranitidine,Ranitidine-Plus-CIP,H2 Blocker,Tablet,10,Acid reflux,Cipla,1542.57,True
MED00103,Cetirizine,Cetirizine-Plus-DR.,Antihistamine,Ointment,N/A,Allergy relief,Dr. Reddy's,1209.57,True
MED00104,Loratadine,Loratadine-LUP,Antihistamine,Inhaler,N/A,Allergy relief,Lupin,1403.22,False
MED00105,Salbutamol,Salbutamol XR-AUR,Bronchodilator,Cream,N/A,Asthma and COPD,Aurobindo Pharma,915.04,True
MED00106,Levothyroxine,Levothyroxine XR-ZYD,Thyroid Hormone,Inhaler,N/A,Hypothyroidism,Zydus Cadila,349.22,True
MED00107,Carbimazole,Carbimazole-MAN,Antithyroid,Syrup,1000,Hyperthyroidism,Mankind Pharma,1447.84,True
MED00108,Prednisolone,Prednisolone XR-TOR,Corticosteroid,Inhaler,N/A,Inflammation and autoimmune conditions,Torrent Pharma,634.04,True
MED00109,Metronidazole,Metronidazole DS-ALK,Antibiotic/Antiprotozoal,Cream,N/A,Anaerobic and parasitic infections,Alkem Labs,968.73,True
MED00110,Doxycycline,Doxycycline DS-GLE,Antibiotic (Tetracycline),Syrup,10,Bacterial infections,Glenmark,1240.55,True
MED00111,Fluconazole,Fluconazole-SUN,Antifungal,Tablet,125,Fungal infections,Sun Pharma,1453.33,False
MED00112,Acyclovir,Acyclovir-CIP,Antiviral,Ointment,N/A,Herpes virus infections,Cipla,2069.76,True
MED00113,Oseltamivir,Oseltamivir-Plus-DR.,Antiviral,Capsule,10,Influenza,Dr. Reddy's,2347.65,True
MED00114,Artemether-Lumefantrine,Artemether-Lumefantrine-Forte-LUP,Antimalarial,Syrup,100,Malaria treatment,Lupin,243.68,True
MED00115,Chloroquine,Chloroquine-Forte-AUR,Antimalarial,Ointment,N/A,Malaria prevention and treatment,Aurobindo Pharma,951.76,True
MED00116,Ondansetron,Ondansetron-Forte-ZYD,Antiemetic,Ointment,N/A,Nausea and vomiting,Zydus Cadila,1211.27,False
MED00117,Domperidone,Domperidone XR-MAN,Antiemetic/Prokinetic,Inhaler,N/A,Nausea and GI motility,Mankind Pharma,1541.97,False
MED00118,Loperamide,Loperamide DS-TOR,Antidiarrheal,Cream,N/A,Diarrhea,Torrent Pharma,942.45,True
MED00119,Oral Rehydration Salts,Oral-Plus-ALK,Electrolyte Replacement,Ointment,N/A,Dehydration,Alkem Labs,517.74,True
MED00120,Diazepam,Diazepam-GLE,Benzodiazepine,Eye Drops,N/A,Anxiety and seizures,Glenmark,64.31,True
MED00121,Sertraline,Sertraline DS-SUN,SSRI Antidepressant,Syrup,50,Depression and anxiety,Sun Pharma,2124.49,True
MED00122,Fluoxetine,Fluoxetine-CIP,SSRI Antidepressant,Ointment,N/A,Depression,Cipla,1976.13,True
MED00123,Escitalopram,Escitalopram-DR.,SSRI Antidepressant,Cream,N/A,Anxiety and depression,Dr. Reddy's,1032.97,True
MED00124,Risperidone,Risperidone DS-LUP,Antipsychotic,Injection,25,Schizophrenia and bipolar disorder,Lupin,2123.34,True
MED00125,Sodium Valproate,Sodium XR-AUR,Anticonvulsant,Injection,50,Epilepsy and bipolar disorder,Aurobindo Pharma,2398.98,False
MED00126,Levetiracetam,Levetiracetam DS-ZYD,Anticonvulsant,Inhaler,N/A,Epilepsy,Zydus Cadila,2238.04,False
MED00127,Gabapentin,Gabapentin XR-MAN,Anticonvulsant/Analgesic,Capsule,100,Nerve pain and seizures,Mankind Pharma,69.35,False
MED00128,Warfarin,Warfarin DS-TOR,Anticoagulant,Syrup,125,Blood clot prevention,Torrent Pharma,1977.14,False
MED00129,Clopidogrel,Clopidogrel XR-ALK,Antiplatelet,Capsule,5,Stroke and heart attack prevention,Alkem Labs,834.72,True
MED00130,Furosemide,Furosemide-GLE,Diuretic,Tablet,50,Fluid retention and heart failure,Glenmark,650.58,True
MED00131,Hydrochlorothiazide,Hydrochlorothiazide XR-SUN,Diuretic,Injection,100,High blood pressure,Sun Pharma,2188.74,True
MED00132,Spironolactone,Spironolactone DS-CIP,Diuretic,Ointment,N/A,Heart failure and fluid retention,Cipla,1257.09,False
MED00133,Diclofenac,Diclofenac-DR.,NSAID,Eye Drops,N/A,Pain and inflammation,Dr. Reddy's,2256.81,False
MED00134,Tramadol,Tramadol XR-LUP,Opioid Analgesic,Eye Drops,N/A,Moderate to severe pain,Lupin,1427.9,True
MED00135,Morphine,Morphine-Plus-AUR,Opioid Analgesic,Injection,100,Severe pain,Aurobindo Pharma,1459.81,False
MED00136,Methotrexate,Methotrexate-ZYD,Antimetabolite/DMARD,Cream,N/A,Rheumatoid arthritis and cancer,Zydus Cadila,634.51,False
MED00137,Hydroxychloroquine,Hydroxychloroquine-Plus-MAN,Antimalarial/DMARD,Ointment,N/A,Lupus and rheumatoid arthritis,Mankind Pharma,561.34,False
MED00138,Allopurinol,Allopurinol-TOR,Antigout,Capsule,25,Gout management,Torrent Pharma,1828.37,True
MED00139,Calcium Carbonate,Calcium-Plus-ALK,Mineral Supplement,Powder,250,Calcium deficiency,Alkem Labs,1726.0,True
MED00140,Ferrous Sulfate,Ferrous-Plus-GLE,Iron Supplement,Capsule,25,Iron deficiency anemia,Glenmark,45.68,False
MED00141,Folic Acid,Folic-Forte-SUN,Vitamin Supplement,Ointment,N/A,Anemia and pregnancy,Sun Pharma,509.72,True
MED00142,Vitamin D3,Vitamin XR-CIP,Vitamin Supplement,Syrup,50,Vitamin D deficiency,Cipla,927.58,False
MED00143,Vitamin B12,Vitamin DS-DR.,Vitamin Supplement,Injection,500,B12 deficiency,Dr. Reddy's,74.43,True
MED00144,Multivitamin,Multivitamin-LUP,Vitamin Supplement,Syrup,1000,General nutritional support,Lupin,395.9,False
MED00145,Clotrimazole,Clotrimazole-AUR,Antifungal (Topical),Eye Drops,N/A,Skin fungal infections,Aurobindo Pharma,1139.2,True
MED00146,Hydrocortisone Cream,Hydrocortisone-ZYD,Corticosteroid (Topical),Cream,N/A,Skin inflammation,Zydus Cadila,278.73,True
MED00147,Benzoyl Peroxide,Benzoyl DS-MAN,Topical Antiacne,Inhaler,N/A,Acne treatment,Mankind Pharma,1143.05,True
MED00148,Salicylic Acid,Salicylic-Plus-TOR,Keratolytic,Powder,25,Acne and skin conditions,Torrent Pharma,2134.82,True
MED00149,Latanoprost,Latanoprost-ALK,Antiglaucoma,Ointment,N/A,Glaucoma,Alkem Labs,2267.88,True
MED00150,Timolol Eye Drops,Timolol DS-GLE,Antiglaucoma,Capsule,1000,Glaucoma,Glenmark,68.11,True
MED00151,Artificial Tears,Artificial-SUN,Ocular Lubricant,Powder,25,Dry eyes,Sun Pharma,2197.95,False
MED00152,Chlorpheniramine,Chlorpheniramine-CIP,Antihistamine,Eye Drops,N/A,Allergy and cold symptoms,Cipla,1938.24,True
MED00153,Dextromethorphan,Dextromethorphan-Forte-DR.,Antitussive,Syrup,5,Cough suppression,Dr. Reddy's,1811.7,True
MED00154,Guaifenesin,Guaifenesin-LUP,Expectorant,Tablet,10,Chest congestion,Lupin,375.57,False
MED00155,Pantoprazole,Pantoprazole DS-AUR,Proton Pump Inhibitor,Tablet,1000,Acid reflux and ulcers,Aurobindo Pharma,1915.85,False
MED00156,Rabeprazole,Rabeprazole-Plus-ZYD,Proton Pump Inhibitor,Injection,50,Acid reflux,Zydus Cadila,1115.33,True
MED00157,Simvastatin,Simvastatin-MAN,Statin,Inhaler,N/A,Cholesterol management,Mankind Pharma,1252.59,True
MED00158,Rosuvastatin,Rosuvastatin DS-TOR,Statin,Capsule,50,Cholesterol management,Torrent Pharma,1164.52,True
MED00159,Enalapril,Enalapril XR-ALK,Antihypertensive (ACE Inhibitor),Inhaler,N/A,High blood pressure,Alkem Labs,668.67,True
MED00160,Ramipril,Ramipril XR-GLE,Antihypertensive (ACE Inhibitor),Tablet,125,High blood pressure and heart failure,Glenmark,1744.23,False
MED00161,Digoxin,Digoxin-SUN,Cardiac Glycoside,Tablet,125,Heart failure and arrhythmia,Sun Pharma,2408.64,True
MED00162,Amiodarone,Amiodarone-Forte-CIP,Antiarrhythmic,Inhaler,N/A,Irregular heartbeat,Cipla,1056.3,True
MED00163,Heparin,Heparin XR-DR.,Anticoagulant,Powder,50,Blood clot prevention (acute),Dr. Reddy's,1301.46,False
MED00164,Insulin Regular,Insulin-LUP,Antidiabetic (Insulin),Inhaler,N/A,Diabetes mellitus,Lupin,302.54,False
MED00165,Glimepiride,Glimepiride XR-AUR,Antidiabetic (Sulfonylurea),Cream,N/A,Type 2 diabetes,Aurobindo Pharma,1171.42,True
MED00166,Pioglitazone,Pioglitazone-ZYD,Antidiabetic (Thiazolidinedione),Tablet,125,Type 2 diabetes,Zydus Cadila,1650.56,True
MED00167,Montelukast,Montelukast DS-MAN,Leukotriene Antagonist,Powder,25,Asthma and allergies,Mankind Pharma,1881.7,True
MED00168,Budesonide Inhaler,Budesonide-TOR,Corticosteroid (Inhaled),Powder,250,Asthma and COPD,Torrent Pharma,254.81,False
MED00169,Ipratropium Bromide,Ipratropium-ALK,Bronchodilator (Anticholinergic),Powder,500,COPD,Alkem Labs,572.72,True
MED00170,Isoniazid,Isoniazid-Plus-GLE,Antitubercular,Injection,650,Tuberculosis,Glenmark,2489.45,False
MED00171,Rifampicin,Rifampicin XR-SUN,Antitubercular,Capsule,50,Tuberculosis,Sun Pharma,1864.53,False
MED00172,Ethambutol,Ethambutol-Forte-CIP,Antitubercular,Ointment,N/A,Tuberculosis,Cipla,1271.34,True
MED00173,Pyrazinamide,Pyrazinamide XR-DR.,Antitubercular,Syrup,250,Tuberculosis,Dr. Reddy's,2365.83,True
MED00174,Zidovudine,Zidovudine-Plus-LUP,Antiretroviral,Cream,N/A,HIV management,Lupin,26.51,True
MED00175,Tenofovir,Tenofovir-AUR,Antiretroviral,Cream,N/A,HIV and Hepatitis B,Aurobindo Pharma,1145.77,True
MED00176,Lamivudine,Lamivudine-Plus-ZYD,Antiretroviral,Cream,N/A,HIV management,Zydus Cadila,558.44,True
MED00177,Paracetamol,Paracetamol-MAN,Analgesic/Antipyretic,Eye Drops,N/A,Fever and pain relief,Mankind Pharma,310.55,True
MED00178,Ibuprofen,Ibuprofen-TOR,NSAID,Cream,N/A,Pain and inflammation relief,Torrent Pharma,1379.55,True
MED00179,Aspirin,Aspirin-ALK,NSAID/Antiplatelet,Ointment,N/A,Pain relief and blood thinning,Alkem Labs,1771.13,False
MED00180,Amoxicillin,Amoxicillin-GLE,Antibiotic (Penicillin),Ointment,N/A,Bacterial infections,Glenmark,1064.98,True
MED00181,Azithromycin,Azithromycin-Plus-SUN,Antibiotic (Macrolide),Syrup,500,Respiratory and skin infections,Sun Pharma,584.92,False
MED00182,Ciprofloxacin,Ciprofloxacin XR-CIP,Antibiotic (Fluoroquinolone),Cream,N/A,Urinary and GI infections,Cipla,1614.5,False
MED00183,Metformin,Metformin-DR.,Antidiabetic (Biguanide),Eye Drops,N/A,Type 2 diabetes management,Dr. Reddy's,1890.38,True
MED00184,Insulin Glargine,Insulin-LUP,Antidiabetic (Insulin),Powder,1000,Diabetes mellitus,Lupin,695.35,True
MED00185,Amlodipine,Amlodipine-Plus-AUR,Antihypertensive (CCB),Cream,N/A,High blood pressure,Aurobindo Pharma,1210.2,True
MED00186,Losartan,Losartan XR-ZYD,Antihypertensive (ARB),Capsule,10,High blood pressure,Zydus Cadila,1784.5,True
MED00187,Atenolol,Atenolol-Forte-MAN,Antihypertensive (Beta-blocker),Eye Drops,N/A,High blood pressure and arrhythmia,Mankind Pharma,1750.84,True
MED00188,Atorvastatin,Atorvastatin-Forte-TOR,Statin,Tablet,10,Cholesterol management,Torrent Pharma,1772.9,True
MED00189,Omeprazole,Omeprazole-ALK,Proton Pump Inhibitor,Cream,N/A,Acid reflux and ulcers,Alkem Labs,2253.37,True
MED00190,Ranitidine,Ranitidine-GLE,H2 Blocker,Capsule,500,Acid reflux,Glenmark,2112.09,True
MED00191,Cetirizine,Cetirizine XR-SUN,Antihistamine,Eye Drops,N/A,Allergy relief,Sun Pharma,1371.56,True
MED00192,Loratadine,Loratadine-Plus-CIP,Antihistamine,Powder,500,Allergy relief,Cipla,1914.26,True
MED00193,Salbutamol,Salbutamol XR-DR.,Bronchodilator,Capsule,25,Asthma and COPD,Dr. Reddy's,1960.05,True
MED00194,Levothyroxine,Levothyroxine XR-LUP,Thyroid Hormone,Syrup,250,Hypothyroidism,Lupin,1221.91,True
MED00195,Carbimazole,Carbimazole-AUR,Antithyroid,Eye Drops,N/A,Hyperthyroidism,Aurobindo Pharma,916.33,True
MED00196,Prednisolone,Prednisolone-Plus-ZYD,Corticosteroid,Eye Drops,N/A,Inflammation and autoimmune conditions,Zydus Cadila,1755.33,True
MED00197,Metronidazole,Metronidazole-Plus-MAN,Antibiotic/Antiprotozoal,Ointment,N/A,Anaerobic and parasitic infections,Mankind Pharma,1323.26,True
MED00198,Doxycycline,Doxycycline XR-TOR,Antibiotic (Tetracycline),Capsule,5,Bacterial infections,Torrent Pharma,1692.99,True
MED00199,Fluconazole,Fluconazole-Plus-ALK,Antifungal,Capsule,50,Fungal infections,Alkem Labs,2465.1,True
MED00200,Acyclovir,Acyclovir XR-GLE,Antiviral,Ointment,N/A,Herpes virus infections,Glenmark,955.64,False
MED00201,Oseltamivir,Oseltamivir-SUN,Antiviral,Eye Drops,N/A,Influenza,Sun Pharma,2227.21,True
MED00202,Artemether-Lumefantrine,Artemether-Lumefantrine-CIP,Antimalarial,Eye Drops,N/A,Malaria treatment,Cipla,1824.99,False
MED00203,Chloroquine,Chloroquine-DR.,Antimalarial,Capsule,100,Malaria prevention and treatment,Dr. Reddy's,1955.46,True
MED00204,Ondansetron,Ondansetron-Forte-LUP,Antiemetic,Ointment,N/A,Nausea and vomiting,Lupin,300.56,True
MED00205,Domperidone,Domperidone DS-AUR,Antiemetic/Prokinetic,Powder,650,Nausea and GI motility,Aurobindo Pharma,233.61,False
