symptom_id,symptom_name,body_location,severity_level,description
SYM00033,Swelling,General,Moderate,Patient-reported swelling without additional qualifiers.
SYM00034,Numbness,General,Moderate,Patient-reported numbness without additional qualifiers.
SYM00035,Tingling,General,Moderate,Patient-reported tingling without additional qualifiers.
SYM00036,Difficulty Swallowing,General,Moderate,Patient-reported difficulty swallowing without additional qualifiers.
SYM00037,Hoarseness,General,Moderate,Patient-reported hoarseness without additional qualifiers.
SYM00038,Excessive Thirst,General,Moderate,Patient-reported excessive thirst without additional qualifiers.
SYM00039,Frequent Urination,General,Moderate,Patient-reported frequent urination without additional qualifiers.
SYM00040,Painful Urination,General,Moderate,Patient-reported painful urination without additional qualifiers.
SYM00041,Blood in Urine,General,Moderate,Patient-reported blood in urine without additional qualifiers.
SYM00042,Blood in Stool,General,Moderate,Patient-reported blood in stool without additional qualifiers.
SYM00043,Jaundice,General,Moderate,Patient-reported jaundice without additional qualifiers.
SYM00044,Dry Mouth,General,Moderate,Patient-reported dry mouth without additional qualifiers.
SYM00045,Bad Breath,General,Moderate,Patient-reported bad breath without additional qualifiers.
SYM00046,Bleeding Gums,General,Moderate,Patient-reported bleeding gums without additional qualifiers.
SYM00047,Toothache,General,Moderate,Patient-reported toothache without additional qualifiers.
SYM00048,Insomnia,General,Moderate,Patient-reported insomnia without additional qualifiers.
SYM00049,Excessive Sleepiness,General,Moderate,Patient-reported excessive sleepiness without additional qualifiers.
SYM00050,Anxiety,General,Moderate,Patient-reported anxiety without additional qualifiers.
SYM00051,Depression,General,Moderate,Patient-reported depression without additional qualifiers.
SYM00052,Irritability,General,Moderate,Patient-reported irritability without additional qualifiers.
SYM00053,Memory Loss,General,Moderate,Patient-reported memory loss without additional qualifiers.
SYM00054,Tremor,General,Moderate,Patient-reported tremor without additional qualifiers.
SYM00055,Seizure,General,Moderate,Patient-reported seizure without additional qualifiers.
SYM00056,Fainting,General,Moderate,Patient-reported fainting without additional qualifiers.
SYM00057,Cold Hands And Feet,General,Moderate,Patient-reported cold hands and feet without additional qualifiers.
SYM00058,Hair Loss,General,Moderate,Patient-reported hair loss without additional qualifiers.
SYM00059,Brittle Nails,General,Moderate,Patient-reported brittle nails without additional qualifiers.
SYM00060,Dry Skin,General,Moderate,Patient-reported dry skin without additional qualifiers.
SYM00061,Excessive Hunger,General,Moderate,Patient-reported excessive hunger without additional qualifiers.
SYM00062,Bloating,General,Moderate,Patient-reported bloating without additional qualifiers.
SYM00063,Gas,General,Moderate,Patient-reported gas without additional qualifiers.
SYM00064,Heartburn,General,Moderate,Patient-reported heartburn without additional qualifiers.
SYM00065,Difficulty Breathing,General,Moderate,Patient-reported difficulty breathing without additional qualifiers.
SYM00066,Wheezing,General,Moderate,Patient-reported wheezing without additional qualifiers.
SYM00067,Rapid Heartbeat,General,Moderate,Patient-reported rapid heartbeat without additional qualifiers.
SYM00068,Slow Heartbeat,General,Moderate,Patient-reported slow heartbeat without additional qualifiers.
SYM00069,High Blood Pressure,General,Moderate,Patient-reported high blood pressure without additional qualifiers.
SYM00070,Low Blood Pressure,General,Moderate,Patient-reported low blood pressure without additional qualifiers.
SYM00071,Swollen Ankles,General,Moderate,Patient-reported swollen ankles without additional qualifiers.
SYM00072,Leg Cramps,General,Moderate,Patient-reported leg cramps without additional qualifiers.
SYM00073,Stiff Joints,General,Moderate,Patient-reported stiff joints without additional qualifiers.
SYM00074,Red Eyes,General,Moderate,Patient-reported red eyes without additional qualifiers.
SYM00075,Watery Eyes,General,Moderate,Patient-reported watery eyes without additional qualifiers.
SYM00076,Sensitivity To Light,General,Moderate,Patient-reported sensitivity to light without additional qualifiers.
SYM00077,Double Vision,General,Moderate,Patient-reported double vision without additional qualifiers.
SYM00078,Ringing In Ears,General,Moderate,Patient-reported ringing in ears without additional qualifiers.
SYM00079,Hearing Loss,General,Moderate,Patient-reported hearing loss without additional qualifiers.
SYM00080,Loss Of Smell,General,Moderate,Patient-reported loss of smell without additional qualifiers.
SYM00081,Loss Of Taste,General,Moderate,Patient-reported loss of taste without additional qualifiers.
SYM00082,Mouth Ulcers,General,Moderate,Patient-reported mouth ulcers without additional qualifiers.
SYM00083,Skin Discoloration,General,Moderate,Patient-reported skin discoloration without additional qualifiers.
SYM00084,Bruising Easily,General,Moderate,Patient-reported bruising easily without additional qualifiers.
SYM00085,Night Sweats,General,Moderate,Patient-reported night sweats without additional qualifiers.
SYM00086,Painful Intercourse,General,Moderate,Patient-reported painful intercourse without additional qualifiers.
SYM00087,Irregular Periods,General,Moderate,Patient-reported irregular periods without additional qualifiers.
SYM00088,Pelvic Pain,General,Moderate,Patient-reported pelvic pain without additional qualifiers.
SYM00089,Testicular Pain,General,Moderate,Patient-reported testicular pain without additional qualifiers.
SYM00090,Erectile Dysfunction,General,Moderate,Patient-reported erectile dysfunction without additional qualifiers.
SYM00091,Frequent Infections,General,Moderate,Patient-reported frequent infections without additional qualifiers.
SYM00092,Slow Wound Healing,General,Moderate,Patient-reported slow wound healing without additional qualifiers.
SYM00093,Increased Thirst,General,Moderate,Patient-reported increased thirst without additional qualifiers.
SYM00094,Muscle Weakness,General,Moderate,Patient-reported muscle weakness without additional qualifiers.
SYM00095,Facial Drooping,General,Moderate,Patient-reported facial drooping without additional qualifiers.
SYM00096,Slurred Speech,General,Moderate,Patient-reported slurred speech without additional qualifiers.
SYM00097,Difficulty Walking,General,Moderate,Patient-reported difficulty walking without additional qualifiers.
SYM00098,Loss Of Balance,General,Moderate,Patient-reported loss of balance without additional qualifiers.
SYM00099,Uncontrolled Movements,General,Moderate,Patient-reported uncontrolled movements without additional qualifiers.
SYM00100,Persistent Cough,General,Moderate,Patient-reported persistent cough without additional qualifiers.
SYM00101,Coughing Blood,General,Moderate,Patient-reported coughing blood without additional qualifiers.
SYM00102,Chest Tightness,General,Moderate,Patient-reported chest tightness without additional qualifiers.
SYM00103,Rapid Breathing,General,Moderate,Patient-reported rapid breathing without additional qualifiers.
SYM00104,Clubbing Of Fingers,General,Moderate,Patient-reported clubbing of fingers without additional qualifiers.
SYM00105,Severe Nasal Congestion (Neck),Neck,Severe,Severe nasal congestion localized to the neck.
SYM00106,Severe Facial Drooping (Abdomen),Abdomen,Severe,Severe facial drooping localized to the abdomen.
SYM00107,Severe Loss Of Taste (Abdomen),Abdomen,Severe,Severe loss of taste localized to the abdomen.
SYM00108,Severe Sneezing (Left Leg),Left Leg,Severe,Severe sneezing localized to the left leg.
SYM00109,Moderate Painful Urination (Right Leg),Right Leg,Moderate,Moderate painful urination localized to the right leg.
SYM00110,Mild Difficulty Swallowing (Chest),Chest,Mild,Mild difficulty swallowing localized to the chest.
SYM00111,Severe Abdominal Pain (Left Arm),Left Arm,Severe,Severe abdominal pain localized to the left arm.
SYM00112,Moderate Ear Pain (Skin),Skin,Moderate,Moderate ear pain localized to the skin.
SYM00113,Moderate Abdominal Pain (Right Arm),Right Arm,Moderate,Moderate abdominal pain localized to the right arm.
SYM00114,Severe Ear Pain (Ears),Ears,Severe,Severe ear pain localized to the ears.
SYM00115,Severe Difficulty Walking (Lower Back),Lower Back,Severe,Severe difficulty walking localized to the lower back.
SYM00116,Severe Confusion (Right Leg),Right Leg,Severe,Severe confusion localized to the right leg.
SYM00117,Severe Hair Loss (Chest),Chest,Severe,Severe hair loss localized to the chest.
SYM00118,Mild Hearing Loss (Lower Back),Lower Back,Mild,Mild hearing loss localized to the lower back.
SYM00119,Mild Mouth Ulcers (Left Leg),Left Leg,Mild,Mild mouth ulcers localized to the left leg.
SYM00120,Severe Chest Pain (Right Leg),Right Leg,Severe,Severe chest pain localized to the right leg.
SYM00121,Severe Chest Tightness (Right Leg),Right Leg,Severe,Severe chest tightness localized to the right leg.
SYM00122,Mild Night Sweats (Upper Back),Upper Back,Mild,Mild night sweats localized to the upper back.
SYM00123,Severe Swollen Lymph Nodes (Right Leg),Right Leg,Severe,Severe swollen lymph nodes localized to the right leg.
SYM00124,Mild Chills (Chest),Chest,Mild,Mild chills localized to the chest.
SYM00125,Mild Skin Discoloration (Abdomen),Abdomen,Mild,Mild skin discoloration localized to the abdomen.
SYM00126,Severe Rapid Breathing (Left Arm),Left Arm,Severe,Severe rapid breathing localized to the left arm.
SYM00127,Moderate Tingling (Right Leg),Right Leg,Moderate,Moderate tingling localized to the right leg.
SYM00128,Severe Irritability (Neck),Neck,Severe,Severe irritability localized to the neck.
SYM00129,Mild Fatigue (Left Leg),Left Leg,Mild,Mild fatigue localized to the left leg.
SYM00130,Moderate Watery Eyes (Whole Body),Whole Body,Moderate,Moderate watery eyes localized to the whole body.
SYM00131,Mild Weight Loss (Right Arm),Right Arm,Mild,Mild weight loss localized to the right arm.
SYM00132,Mild Chills (Lower Back),Lower Back,Mild,Mild chills localized to the lower back.
SYM00133,Mild Frequent Urination (Throat),Throat,Mild,Mild frequent urination localized to the throat.
SYM00134,Mild Double Vision (Right Arm),Right Arm,Mild,Mild double vision localized to the right arm.
SYM00135,Severe Dry Skin (Left Arm),Left Arm,Severe,Severe dry skin localized to the left arm.
SYM00136,Mild Painful Intercourse (Whole Body),Whole Body,Mild,Mild painful intercourse localized to the whole body.
SYM00137,Severe Brittle Nails (Ears),Ears,Severe,Severe brittle nails localized to the ears.
SYM00138,Moderate Chest Tightness (Whole Body),Whole Body,Moderate,Moderate chest tightness localized to the whole body.
SYM00139,Moderate Heartburn (Chest),Chest,Moderate,Moderate heartburn localized to the chest.
SYM00140,Severe Loss Of Taste (Lower Back),Lower Back,Severe,Severe loss of taste localized to the lower back.
SYM00141,Mild Fever (Left Arm),Left Arm,Mild,Mild fever localized to the left arm.
SYM00142,Severe Leg Cramps (Whole Body),Whole Body,Severe,Severe leg cramps localized to the whole body.
SYM00143,Mild Wheezing (Skin),Skin,Mild,Mild wheezing localized to the skin.
SYM00144,Severe Rapid Breathing (Ears),Ears,Severe,Severe rapid breathing localized to the ears.
SYM00145,Severe Watery Eyes (Skin),Skin,Severe,Severe watery eyes localized to the skin.
SYM00146,Moderate Leg Cramps (Joints),Joints,Moderate,Moderate leg cramps localized to the joints.
SYM00147,Moderate Double Vision (Left Arm),Left Arm,Moderate,Moderate double vision localized to the left arm.
SYM00148,Mild Toothache (Right Leg),Right Leg,Mild,Mild toothache localized to the right leg.
SYM00149,Mild Night Sweats (Left Arm),Left Arm,Mild,Mild night sweats localized to the left arm.
SYM00150,Severe Bleeding Gums (Neck),Neck,Severe,Severe bleeding gums localized to the neck.
SYM00151,Severe Difficulty Swallowing (Ears),Ears,Severe,Severe difficulty swallowing localized to the ears.
SYM00152,Severe Loss Of Balance (Throat),Throat,Severe,Severe loss of balance localized to the throat.
SYM00153,Moderate Hoarseness (Throat),Throat,Moderate,Moderate hoarseness localized to the throat.
SYM00154,Moderate Dry Skin (Ears),Ears,Moderate,Moderate dry skin localized to the ears.
SYM00155,Severe Dry Skin (Ears),Ears,Severe,Severe dry skin localized to the ears.
SYM00156,Severe Difficulty Walking (Throat),Throat,Severe,Severe difficulty walking localized to the throat.
SYM00157,Mild Blurred Vision (Chest),Chest,Mild,Mild blurred vision localized to the chest.
SYM00158,Mild Muscle Ache (Left Arm),Left Arm,Mild,Mild muscle ache localized to the left arm.
SYM00159,Mild Gas (Right Leg),Right Leg,Mild,Mild gas localized to the right leg.
SYM00160,Mild Excessive Hunger (Head),Head,Mild,Mild excessive hunger localized to the head.
SYM00161,Moderate Excessive Thirst (Chest),Chest,Moderate,Moderate excessive thirst localized to the chest.
SYM00162,Mild Blood in Urine (Lower Back),Lower Back,Mild,Mild blood in urine localized to the lower back.
SYM00163,Severe Blood in Stool (Skin),Skin,Severe,Severe blood in stool localized to the skin.
SYM00164,Mild Sweating (Right Arm),Right Arm,Mild,Mild sweating localized to the right arm.
SYM00165,Severe Anxiety (Whole Body),Whole Body,Severe,Severe anxiety localized to the whole body.
SYM00166,Severe Fatigue (Lower Back),Lower Back,Severe,Severe fatigue localized to the lower back.
SYM00167,Mild Hearing Loss (Right Arm),Right Arm,Mild,Mild hearing loss localized to the right arm.
SYM00168,Mild Fever (Right Arm),Right Arm,Mild,Mild fever localized to the right arm.
SYM00169,Moderate Difficulty Breathing (Abdomen),Abdomen,Moderate,Moderate difficulty breathing localized to the abdomen.
SYM00170,Mild Excessive Thirst (Ears),Ears,Mild,Mild excessive thirst localized to the ears.
SYM00171,Severe Red Eyes (Lower Back),Lower Back,Severe,Severe red eyes localized to the lower back.
SYM00172,Mild Tremor (Abdomen),Abdomen,Mild,Mild tremor localized to the abdomen.
SYM00173,Moderate Seizure (Left Leg),Left Leg,Moderate,Moderate seizure localized to the left leg.
SYM00174,Moderate Increased Thirst (Left Arm),Left Arm,Moderate,Moderate increased thirst localized to the left arm.
SYM00175,Severe Gas (Right Arm),Right Arm,Severe,Severe gas localized to the right arm.
SYM00176,Severe Frequent Urination (Abdomen),Abdomen,Severe,Severe frequent urination localized to the abdomen.
SYM00177,Mild Difficulty Walking (Right Arm),Right Arm,Mild,Mild difficulty walking localized to the right arm.
SYM00178,Severe Loss of Appetite (Chest),Chest,Severe,Severe loss of appetite localized to the chest.
SYM00179,Mild Tingling (Ears),Ears,Mild,Mild tingling localized to the ears.
SYM00180,Mild Testicular Pain (Neck),Neck,Mild,Mild testicular pain localized to the neck.
SYM00181,Severe Hoarseness (Right Leg),Right Leg,Severe,Severe hoarseness localized to the right leg.
SYM00182,Moderate Uncontrolled Movements (Neck),Neck,Moderate,Moderate uncontrolled movements localized to the neck.
SYM00183,Severe Persistent Cough (Throat),Throat,Severe,Severe persistent cough localized to the throat.
SYM00184,Moderate Weight Loss (Lower Back),Lower Back,Moderate,Moderate weight loss localized to the lower back.
SYM00185,Severe Slow Heartbeat (Joints),Joints,Severe,Severe slow heartbeat localized to the joints.
SYM00186,Mild Jaundice (Abdomen),Abdomen,Mild,Mild jaundice localized to the abdomen.
SYM00187,Severe Sweating (Throat),Throat,Severe,Severe sweating localized to the throat.
SYM00188,Mild Painful Intercourse (Right Arm),Right Arm,Mild,Mild painful intercourse localized to the right arm.
SYM00189,Mild Toothache (Left Leg),Left Leg,Mild,Mild toothache localized to the left leg.
SYM00190,Moderate Ear Pain (Left Arm),Left Arm,Moderate,Moderate ear pain localized to the left arm.
SYM00191,Moderate Slow Wound Healing (Right Arm),Right Arm,Moderate,Moderate slow wound healing localized to the right arm.
SYM00192,Mild Slurred Speech (Upper Back),Upper Back,Mild,Mild slurred speech localized to the upper back.
SYM00193,Severe Sneezing (Whole Body),Whole Body,Severe,Severe sneezing localized to the whole body.
SYM00194,Moderate Depression (Right Arm),Right Arm,Moderate,Moderate depression localized to the right arm.
SYM00195,Severe Dizziness (Upper Back),Upper Back,Severe,Severe dizziness localized to the upper back.
SYM00196,Severe Slow Heartbeat (Head),Head,Severe,Severe slow heartbeat localized to the head.
SYM00197,Moderate Sore Throat (Whole Body),Whole Body,Moderate,Moderate sore throat localized to the whole body.
SYM00198,Severe Loss Of Taste (Head),Head,Severe,Severe loss of taste localized to the head.
SYM00199,Moderate Excessive Sleepiness (Lower Back),Lower Back,Moderate,Moderate excessive sleepiness localized to the lower back.
SYM00200,Mild Blurred Vision (Neck),Neck,Mild,Mild blurred vision localized to the neck.
SYM00201,Severe Sneezing (Ears),Ears,Severe,Severe sneezing localized to the ears.
SYM00202,Mild Constipation (Left Arm),Left Arm,Mild,Mild constipation localized to the left arm.
SYM00203,Mild Red Eyes (Ears),Ears,Mild,Mild red eyes localized to the ears.
SYM00204,Severe Shortness of Breath (Abdomen),Abdomen,Severe,Severe shortness of breath localized to the abdomen.
SYM00205,Moderate Tingling (Left Arm),Left Arm,Moderate,Moderate tingling localized to the left arm.
SYM00206,Severe Weight Gain (Left Arm),Left Arm,Severe,Severe weight gain localized to the left arm.
SYM00207,Moderate Loss Of Taste (Abdomen),Abdomen,Moderate,Moderate loss of taste localized to the abdomen.
SYM00208,Moderate Coughing Blood (Left Leg),Left Leg,Moderate,Moderate coughing blood localized to the left leg.
SYM00209,Mild Bad Breath (Throat),Throat,Mild,Mild bad breath localized to the throat.
SYM00210,Moderate Bleeding Gums (Chest),Chest,Moderate,Moderate bleeding gums localized to the chest.
SYM00211,Moderate Frequent Infections (Chest),Chest,Moderate,Moderate frequent infections localized to the chest.
SYM00212,Moderate Slow Heartbeat (Throat),Throat,Moderate,Moderate slow heartbeat localized to the throat.
SYM00213,Severe Runny Nose (Lower Back),Lower Back,Severe,Severe runny nose localized to the lower back.
SYM00214,Mild Difficulty Walking (Ears),Ears,Mild,Mild difficulty walking localized to the ears.
SYM00215,Severe Tingling (Right Leg),Right Leg,Severe,Severe tingling localized to the right leg.
SYM00216,Severe High Blood Pressure (Upper Back),Upper Back,Severe,Severe high blood pressure localized to the upper back.
SYM00217,Severe Double Vision (Throat),Throat,Severe,Severe double vision localized to the throat.
SYM00218,Severe Bad Breath (Ears),Ears,Severe,Severe bad breath localized to the ears.
SYM00219,Mild Hearing Loss (Left Arm),Left Arm,Mild,Mild hearing loss localized to the left arm.
SYM00220,Mild Jaundice (Neck),Neck,Mild,Mild jaundice localized to the neck.
SYM00221,Mild Dry Mouth (Joints),Joints,Mild,Mild dry mouth localized to the joints.
SYM00222,Severe Hearing Loss (Skin),Skin,Severe,Severe hearing loss localized to the skin.
SYM00223,Mild Watery Eyes (Skin),Skin,Mild,Mild watery eyes localized to the skin.
SYM00224,Severe Blurred Vision (Lower Back),Lower Back,Severe,Severe blurred vision localized to the lower back.
SYM00225,Severe Irregular Periods (Upper Back),Upper Back,Severe,Severe irregular periods localized to the upper back.
SYM00226,Mild Sensitivity To Light (Ears),Ears,Mild,Mild sensitivity to light localized to the ears.
SYM00227,Mild Weight Loss (Chest),Chest,Mild,Mild weight loss localized to the chest.
SYM00228,Severe Double Vision (Neck),Neck,Severe,Severe double vision localized to the neck.
SYM00229,Mild Sneezing (Joints),Joints,Mild,Mild sneezing localized to the joints.
SYM00230,Moderate Slow Wound Healing (Whole Body),Whole Body,Moderate,Moderate slow wound healing localized to the whole body.
SYM00231,Mild Diarrhea (Upper Back),Upper Back,Mild,Mild diarrhea localized to the upper back.
SYM00232,Mild Hair Loss (Right Arm),Right Arm,Mild,Mild hair loss localized to the right arm.
SYM00233,Severe Blurred Vision (Whole Body),Whole Body,Severe,Severe blurred vision localized to the whole body.
SYM00234,Mild Swollen Lymph Nodes (Right Arm),Right Arm,Mild,Mild swollen lymph nodes localized to the right arm.
SYM00235,Mild Joint Pain (Joints),Joints,Mild,Mild joint pain localized to the joints.
SYM00236,Moderate Cold Hands And Feet (Whole Body),Whole Body,Moderate,Moderate cold hands and feet localized to the whole body.
SYM00237,Severe Tremor (Right Arm),Right Arm,Severe,Severe tremor localized to the right arm.
SYM00238,Mild Stiff Joints (Skin),Skin,Mild,Mild stiff joints localized to the skin.
SYM00239,Moderate Loss of Appetite (Left Leg),Left Leg,Moderate,Moderate loss of appetite localized to the left leg.
SYM00240,Severe Blood in Stool (Abdomen),Abdomen,Severe,Severe blood in stool localized to the abdomen.
SYM00241,Mild Bruising Easily (Left Leg),Left Leg,Mild,Mild bruising easily localized to the left leg.
SYM00242,Moderate Weight Loss (Skin),Skin,Moderate,Moderate weight loss localized to the skin.
SYM00243,Mild Dry Mouth (Throat),Throat,Mild,Mild dry mouth localized to the throat.
SYM00244,Mild Increased Thirst (Head),Head,Mild,Mild increased thirst localized to the head.
SYM00245,Moderate Blood in Urine (Lower Back),Lower Back,Moderate,Moderate blood in urine localized to the lower back.
SYM00246,Severe Joint Pain (Skin),Skin,Severe,Severe joint pain localized to the skin.
SYM00247,Moderate Depression (Joints),Joints,Moderate,Moderate depression localized to the joints.
SYM00248,Moderate Itching (Head),Head,Moderate,Moderate itching localized to the head.
SYM00249,Moderate Swelling (Skin),Skin,Moderate,Moderate swelling localized to the skin.
SYM00250,Mild Dry Skin (Eyes),Eyes,Mild,Mild dry skin localized to the eyes.
SYM00251,Moderate Swollen Ankles (Right Arm),Right Arm,Moderate,Moderate swollen ankles localized to the right arm.
SYM00252,Severe Brittle Nails (Left Arm),Left Arm,Severe,Severe brittle nails localized to the left arm.
SYM00253,Severe Dizziness (Left Arm),Left Arm,Severe,Severe dizziness localized to the left arm.
SYM00254,Severe Bleeding Gums (Left Arm),Left Arm,Severe,Severe bleeding gums localized to the left arm.
SYM00255,Moderate Irregular Periods (Right Leg),Right Leg,Moderate,Moderate irregular periods localized to the right leg.
SYM00256,Severe Hearing Loss (Abdomen),Abdomen,Severe,Severe hearing loss localized to the abdomen.
SYM00257,Mild Neck Stiffness (Upper Back),Upper Back,Mild,Mild neck stiffness localized to the upper back.
SYM00258,Severe Loss Of Taste (Skin),Skin,Severe,Severe loss of taste localized to the skin.
SYM00259,Mild Dizziness (Throat),Throat,Mild,Mild dizziness localized to the throat.
SYM00260,Mild Rash (Chest),Chest,Mild,Mild rash localized to the chest.
SYM00261,Severe Leg Cramps (Lower Back),Lower Back,Severe,Severe leg cramps localized to the lower back.
SYM00262,Moderate Bad Breath (Skin),Skin,Moderate,Moderate bad breath localized to the skin.
SYM00263,Severe Loss of Appetite (Abdomen),Abdomen,Severe,Severe loss of appetite localized to the abdomen.
SYM00264,Severe Sensitivity To Light (Neck),Neck,Severe,Severe sensitivity to light localized to the neck.
SYM00265,Mild Nausea (Lower Back),Lower Back,Mild,Mild nausea localized to the lower back.
SYM00266,Mild Blood in Stool (Joints),Joints,Mild,Mild blood in stool localized to the joints.
SYM00267,Mild Memory Loss (Neck),Neck,Mild,Mild memory loss localized to the neck.
SYM00268,Severe Facial Drooping (Skin),Skin,Severe,Severe facial drooping localized to the skin.
SYM00269,Severe Rapid Heartbeat (Eyes),Eyes,Severe,Severe rapid heartbeat localized to the eyes.
SYM00270,Severe Hair Loss (Ears),Ears,Severe,Severe hair loss localized to the ears.
SYM00271,Moderate Erectile Dysfunction (Throat),Throat,Moderate,Moderate erectile dysfunction localized to the throat.
SYM00272,Moderate Frequent Urination (Lower Back),Lower Back,Moderate,Moderate frequent urination localized to the lower back.
SYM00273,Mild Joint Pain (Ears),Ears,Mild,Mild joint pain localized to the ears.
SYM00274,Moderate Back Pain (Throat),Throat,Moderate,Moderate back pain localized to the throat.
SYM00275,Mild Fatigue (Ears),Ears,Mild,Mild fatigue localized to the ears.
SYM00276,Severe Erectile Dysfunction (Upper Back),Upper Back,Severe,Severe erectile dysfunction localized to the upper back.
SYM00277,Moderate Dry Mouth (Joints),Joints,Moderate,Moderate dry mouth localized to the joints.
SYM00278,Severe Cold Hands And Feet (Left Arm),Left Arm,Severe,Severe cold hands and feet localized to the left arm.
SYM00279,Moderate Sore Throat (Lower Back),Lower Back,Moderate,Moderate sore throat localized to the lower back.
SYM00280,Severe Loss Of Smell (Lower Back),Lower Back,Severe,Severe loss of smell localized to the lower back.
SYM00281,Severe Hearing Loss (Joints),Joints,Severe,Severe hearing loss localized to the joints.
SYM00282,Mild Confusion (Upper Back),Upper Back,Mild,Mild confusion localized to the upper back.
SYM00283,Moderate Runny Nose (Left Arm),Left Arm,Moderate,Moderate runny nose localized to the left arm.
SYM00284,Severe Dry Mouth (Abdomen),Abdomen,Severe,Severe dry mouth localized to the abdomen.
SYM00285,Severe Difficulty Swallowing (Chest),Chest,Severe,Severe difficulty swallowing localized to the chest.
SYM00286,Moderate Loss Of Taste (Right Arm),Right Arm,Moderate,Moderate loss of taste localized to the right arm.
SYM00287,Moderate Chest Tightness (Left Leg),Left Leg,Moderate,Moderate chest tightness localized to the left leg.
SYM00288,Severe Weight Gain (Eyes),Eyes,Severe,Severe weight gain localized to the eyes.
SYM00289,Mild Chest Tightness (Whole Body),Whole Body,Mild,Mild chest tightness localized to the whole body.
SYM00290,Mild Stiff Joints (Chest),Chest,Mild,Mild stiff joints localized to the chest.
SYM00291,Mild Toothache (Skin),Skin,Mild,Mild toothache localized to the skin.
SYM00292,Moderate Heartburn (Upper Back),Upper Back,Moderate,Moderate heartburn localized to the upper back.
SYM00293,Severe Excessive Hunger (Joints),Joints,Severe,Severe excessive hunger localized to the joints.
SYM00294,Moderate Fatigue (Right Arm),Right Arm,Moderate,Moderate fatigue localized to the right arm.
SYM00295,Severe Slow Wound Healing (Neck),Neck,Severe,Severe slow wound healing localized to the neck.
SYM00296,Mild Gas (Eyes),Eyes,Mild,Mild gas localized to the eyes.
SYM00297,Mild Hoarseness (Left Arm),Left Arm,Mild,Mild hoarseness localized to the left arm.
SYM00298,Mild Fever (Head),Head,Mild,Mild fever localized to the head.
SYM00299,Mild Increased Thirst (Chest),Chest,Mild,Mild increased thirst localized to the chest.
SYM00300,Mild Tingling (Throat),Throat,Mild,Mild tingling localized to the throat.
SYM00301,Severe Joint Pain (Left Leg),Left Leg,Severe,Severe joint pain localized to the left leg.
SYM00302,Moderate Memory Loss (Abdomen),Abdomen,Moderate,Moderate memory loss localized to the abdomen.
SYM00303,Mild Rapid Heartbeat (Neck),Neck,Mild,Mild rapid heartbeat localized to the neck.
SYM00304,Moderate Blood in Urine (Throat),Throat,Moderate,Moderate blood in urine localized to the throat.
SYM00305,Mild Chest Tightness (Throat),Throat,Mild,Mild chest tightness localized to the throat.
SYM00306,Severe Ear Pain (Neck),Neck,Severe,Severe ear pain localized to the neck.
