disease_id,disease_name,category,typical_severity,is_chronic,description
DIS0025,Hypertension,Cardiovascular,Moderate,True,Hypertension is a cardiovascular condition typically presenting with moderate severity.
DIS0026,Coronary Artery Disease,Cardiovascular,Severe,True,Coronary Artery Disease is a cardiovascular condition typically presenting with severe severity.
DIS0027,Heart Failure,Cardiovascular,Severe,True,Heart Failure is a cardiovascular condition typically presenting with severe severity.
DIS0028,Arrhythmia,Cardiovascular,Moderate,True,Arrhythmia is a cardiovascular condition typically presenting with moderate severity.
DIS0029,Stroke,Cardiovascular,Severe,False,Stroke is a cardiovascular condition typically presenting with severe severity.
DIS0030,Deep Vein Thrombosis,Cardiovascular,Severe,False,Deep Vein Thrombosis is a cardiovascular condition typically presenting with severe severity.
DIS0031,Migraine,Neurological,Moderate,True,Migraine is a neurological condition typically presenting with moderate severity.
DIS0032,Epilepsy,Neurological,Severe,True,Epilepsy is a neurological condition typically presenting with severe severity.
DIS0033,Parkinson's Disease,Neurological,Severe,True,Parkinson's Disease is a neurological condition typically presenting with severe severity.
DIS0034,Alzheimer's Disease,Neurological,Severe,True,Alzheimer's Disease is a neurological condition typically presenting with severe severity.
DIS0035,Multiple Sclerosis,Neurological,Severe,True,Multiple Sclerosis is a neurological condition typically presenting with severe severity.
DIS0036,Bell's Palsy,Neurological,Moderate,False,Bell's Palsy is a neurological condition typically presenting with moderate severity.
DIS0037,Gastroenteritis,Digestive,Moderate,False,Gastroenteritis is a digestive condition typically presenting with moderate severity.
DIS0038,Peptic Ulcer Disease,Digestive,Moderate,True,Peptic Ulcer Disease is a digestive condition typically presenting with moderate severity.
DIS0039,Gastroesophageal Reflux Disease,Digestive,Mild,True,Gastroesophageal Reflux Disease is a digestive condition typically presenting with mild severity.
DIS0040,Irritable Bowel Syndrome,Digestive,Moderate,True,Irritable Bowel Syndrome is a digestive condition typically presenting with moderate severity.
DIS0041,Crohn's Disease,Digestive,Severe,True,Crohn's Disease is a digestive condition typically presenting with severe severity.
DIS0042,Ulcerative Colitis,Digestive,Severe,True,Ulcerative Colitis is a digestive condition typically presenting with severe severity.
DIS0043,Appendicitis,Digestive,Severe,False,Appendicitis is a digestive condition typically presenting with severe severity.
DIS0044,Gallstones,Digestive,Moderate,False,Gallstones is a digestive condition typically presenting with moderate severity.
DIS0045,Cirrhosis,Digestive,Severe,True,Cirrhosis is a digestive condition typically presenting with severe severity.
DIS0046,Pancreatitis,Digestive,Severe,False,Pancreatitis is a digestive condition typically presenting with severe severity.
DIS0047,Urinary Tract Infection,Urological,Mild,False,Urinary Tract Infection is a urological condition typically presenting with mild severity.
DIS0048,Kidney Stones,Urological,Severe,False,Kidney Stones is a urological condition typically presenting with severe severity.
DIS0049,Chronic Kidney Disease,Urological,Severe,True,Chronic Kidney Disease is a urological condition typically presenting with severe severity.
DIS0050,Benign Prostatic Hyperplasia,Urological,Moderate,True,Benign Prostatic Hyperplasia is a urological condition typically presenting with moderate severity.
DIS0051,Osteoarthritis,Musculoskeletal,Moderate,True,Osteoarthritis is a musculoskeletal condition typically presenting with moderate severity.
DIS0052,Rheumatoid Arthritis,Musculoskeletal,Severe,True,Rheumatoid Arthritis is a musculoskeletal condition typically presenting with severe severity.
DIS0053,Gout,Musculoskeletal,Moderate,True,Gout is a musculoskeletal condition typically presenting with moderate severity.
DIS0054,Osteoporosis,Musculoskeletal,Moderate,True,Osteoporosis is a musculoskeletal condition typically presenting with moderate severity.
DIS0055,Fibromyalgia,Musculoskeletal,Moderate,True,Fibromyalgia is a musculoskeletal condition typically presenting with moderate severity.
DIS0056,Lower Back Strain,Musculoskeletal,Mild,False,Lower Back Strain is a musculoskeletal condition typically presenting with mild severity.
DIS0057,Eczema,Dermatological,Mild,True,Eczema is a dermatological condition typically presenting with mild severity.
DIS0058,Psoriasis,Dermatological,Moderate,True,Psoriasis is a dermatological condition typically presenting with moderate severity.
DIS0059,Acne Vulgaris,Dermatological,Mild,True,Acne Vulgaris is a dermatological condition typically presenting with mild severity.
DIS0060,Fungal Skin Infection,Dermatological,Mild,False,Fungal Skin Infection is a dermatological condition typically presenting with mild severity.
DIS0061,Urticaria,Dermatological,Mild,False,Urticaria is a dermatological condition typically presenting with mild severity.
DIS0062,Conjunctivitis,Ophthalmological,Mild,False,Conjunctivitis is a ophthalmological condition typically presenting with mild severity.
DIS0063,Cataract,Ophthalmological,Moderate,True,Cataract is a ophthalmological condition typically presenting with moderate severity.
DIS0064,Glaucoma,Ophthalmological,Severe,True,Glaucoma is a ophthalmological condition typically presenting with severe severity.
DIS0065,Otitis Media,ENT,Mild,False,Otitis Media is a ent condition typically presenting with mild severity.
DIS0066,Tonsillitis,ENT,Mild,False,Tonsillitis is a ent condition typically presenting with mild severity.
DIS0067,Vertigo,ENT,Moderate,False,Vertigo is a ent condition typically presenting with moderate severity.
DIS0068,Generalized Anxiety Disorder,Psychiatric,Moderate,True,Generalized Anxiety Disorder is a psychiatric condition typically presenting with moderate severity.
DIS0069,Major Depressive Disorder,Psychiatric,Moderate,True,Major Depressive Disorder is a psychiatric condition typically presenting with moderate severity.
DIS0070,Bipolar Disorder,Psychiatric,Severe,True,Bipolar Disorder is a psychiatric condition typically presenting with severe severity.
DIS0071,Insomnia Disorder,Psychiatric,Mild,True,Insomnia Disorder is a psychiatric condition typically presenting with mild severity.
DIS0072,Anemia,Hematological,Moderate,True,Anemia is a hematological condition typically presenting with moderate severity.
DIS0073,Leukemia,Hematological,Severe,True,Leukemia is a hematological condition typically presenting with severe severity.
DIS0074,Thrombocytopenia,Hematological,Moderate,False,Thrombocytopenia is a hematological condition typically presenting with moderate severity.
DIS0075,Allergic Rhinitis,Immunological,Mild,True,Allergic Rhinitis is a immunological condition typically presenting with mild severity.
DIS0076,Food Allergy,Immunological,Moderate,True,Food Allergy is a immunological condition typically presenting with moderate severity.
DIS0077,Lupus,Immunological,Severe,True,Lupus is a immunological condition typically presenting with severe severity.
DIS0078,Breast Cancer,Oncological,Severe,True,Breast Cancer is a oncological condition typically presenting with severe severity.
DIS0079,Lung Cancer,Oncological,Severe,True,Lung Cancer is a oncological condition typically presenting with severe severity.
DIS0080,Colorectal Cancer,Oncological,Severe,True,Colorectal Cancer is a oncological condition typically presenting with severe severity.
DIS0081,Prostate Cancer,Oncological,Severe,True,Prostate Cancer is a oncological condition typically presenting with severe severity.
DIS0082,Skin Cancer,Oncological,Severe,True,Skin Cancer is a oncological condition typically presenting with severe severity.
DIS0083,Chronic Deep Vein Thrombosis,Cardiovascular,Severe,True,"Chronic Deep Vein Thrombosis is a chronic presentation of deep vein thrombosis, a cardiovascular condition."
DIS0084,Acute Cholera,Infectious,Severe,False,"Acute Cholera is a acute presentation of cholera, a infectious condition."
DIS0085,Advanced Sinusitis,Respiratory,Mild,False,"Advanced Sinusitis is a advanced presentation of sinusitis, a respiratory condition."
DIS0086,Mild Allergic Rhinitis,Immunological,Mild,True,"Mild Allergic Rhinitis is a mild presentation of allergic rhinitis, a immunological condition."
DIS0087,Severe Vertigo,ENT,Severe,False,"Severe Vertigo is a severe presentation of vertigo, a ent condition."
DIS0088,Chronic Pancreatitis,Digestive,Severe,True,"Chronic Pancreatitis is a chronic presentation of pancreatitis, a digestive condition."
DIS0089,Acute Measles,Infectious,Moderate,False,"Acute Measles is a acute presentation of measles, a infectious condition."
DIS0090,Atypical Psoriasis,Dermatological,Moderate,True,"Atypical Psoriasis is a atypical presentation of psoriasis, a dermatological condition."
DIS0091,Advanced Tuberculosis,Respiratory,Severe,True,"Advanced Tuberculosis is a advanced presentation of tuberculosis, a respiratory condition."
DIS0092,Advanced Urinary Tract Infection,Urological,Mild,False,"Advanced Urinary Tract Infection is a advanced presentation of urinary tract infection, a urological condition."
DIS0093,Atypical Migraine,Neurological,Moderate,True,"Atypical Migraine is a atypical presentation of migraine, a neurological condition."
DIS0094,Acute Osteoporosis,Musculoskeletal,Moderate,True,"Acute Osteoporosis is a acute presentation of osteoporosis, a musculoskeletal condition."
DIS0095,Chronic Otitis Media,ENT,Mild,True,"Chronic Otitis Media is a chronic presentation of otitis media, a ent condition."
DIS0096,Advanced Parkinson's Disease,Neurological,Severe,True,"Advanced Parkinson's Disease is a advanced presentation of parkinson's disease, a neurological condition."
DIS0097,Severe Hyperthyroidism,Endocrine,Severe,True,"Severe Hyperthyroidism is a severe presentation of hyperthyroidism, a endocrine condition."
DIS0098,Severe Gallstones,Digestive,Severe,False,"Severe Gallstones is a severe presentation of gallstones, a digestive condition."
DIS0099,Advanced Chronic Kidney Disease,Urological,Severe,True,"Advanced Chronic Kidney Disease is a advanced presentation of chronic kidney disease, a urological condition."
DIS0100,Severe Prostate Cancer,Oncological,Severe,True,"Severe Prostate Cancer is a severe presentation of prostate cancer, a oncological condition."
DIS0101,Severe Arrhythmia,Cardiovascular,Severe,True,"Severe Arrhythmia is a severe presentation of arrhythmia, a cardiovascular condition."
DIS0102,Early-Stage Chronic Obstructive Pulmonary Disease,Respiratory,Severe,True,"Early-Stage Chronic Obstructive Pulmonary Disease is a early-stage presentation of chronic obstructive pulmonary disease, a respiratory condition."
DIS0103,Chronic Benign Prostatic Hyperplasia,Urological,Moderate,True,"Chronic Benign Prostatic Hyperplasia is a chronic presentation of benign prostatic hyperplasia, a urological condition."
DIS0104,Chronic Alzheimer's Disease,Neurological,Severe,True,"Chronic Alzheimer's Disease is a chronic presentation of alzheimer's disease, a neurological condition."
DIS0105,Advanced Osteoporosis,Musculoskeletal,Moderate,True,"Advanced Osteoporosis is a advanced presentation of osteoporosis, a musculoskeletal condition."
DIS0106,Recurrent Hepatitis A,Infectious,Moderate,True,"Recurrent Hepatitis A is a recurrent presentation of hepatitis a, a infectious condition."
DIS0107,Recurrent Osteoporosis,Musculoskeletal,Moderate,True,"Recurrent Osteoporosis is a recurrent presentation of osteoporosis, a musculoskeletal condition."
DIS0108,Severe Crohn's Disease,Digestive,Severe,True,"Severe Crohn's Disease is a severe presentation of crohn's disease, a digestive condition."
DIS0109,Early-Stage Crohn's Disease,Digestive,Severe,True,"Early-Stage Crohn's Disease is a early-stage presentation of crohn's disease, a digestive condition."
DIS0110,Atypical Sinusitis,Respiratory,Mild,False,"Atypical Sinusitis is a atypical presentation of sinusitis, a respiratory condition."
DIS0111,Acute Typhoid Fever,Infectious,Severe,False,"Acute Typhoid Fever is a acute presentation of typhoid fever, a infectious condition."
DIS0112,Severe Colorectal Cancer,Oncological,Severe,True,"Severe Colorectal Cancer is a severe presentation of colorectal cancer, a oncological condition."
DIS0113,Recurrent Anemia,Hematological,Moderate,True,"Recurrent Anemia is a recurrent presentation of anemia, a hematological condition."
DIS0114,Atypical Arrhythmia,Cardiovascular,Moderate,True,"Atypical Arrhythmia is a atypical presentation of arrhythmia, a cardiovascular condition."
DIS0115,Early-Stage Type 2 Diabetes Mellitus,Endocrine,Moderate,True,"Early-Stage Type 2 Diabetes Mellitus is a early-stage presentation of type 2 diabetes mellitus, a endocrine condition."
DIS0116,Mild Sinusitis,Respiratory,Mild,False,"Mild Sinusitis is a mild presentation of sinusitis, a respiratory condition."
DIS0117,Mild Conjunctivitis,Ophthalmological,Mild,False,"Mild Conjunctivitis is a mild presentation of conjunctivitis, a ophthalmological condition."
DIS0118,Acute Cataract,Ophthalmological,Moderate,True,"Acute Cataract is a acute presentation of cataract, a ophthalmological condition."
DIS0119,Advanced Migraine,Neurological,Moderate,True,"Advanced Migraine is a advanced presentation of migraine, a neurological condition."
DIS0120,Atypical Fibromyalgia,Musculoskeletal,Moderate,True,"Atypical Fibromyalgia is a atypical presentation of fibromyalgia, a musculoskeletal condition."
DIS0121,Early-Stage Peptic Ulcer Disease,Digestive,Moderate,True,"Early-Stage Peptic Ulcer Disease is a early-stage presentation of peptic ulcer disease, a digestive condition."
DIS0122,Early-Stage Hypertension,Cardiovascular,Moderate,True,"Early-Stage Hypertension is a early-stage presentation of hypertension, a cardiovascular condition."
DIS0123,Early-Stage Insomnia Disorder,Psychiatric,Mild,True,"Early-Stage Insomnia Disorder is a early-stage presentation of insomnia disorder, a psychiatric condition."
DIS0124,Early-Stage Coronary Artery Disease,Cardiovascular,Severe,True,"Early-Stage Coronary Artery Disease is a early-stage presentation of coronary artery disease, a cardiovascular condition."
DIS0125,Chronic Sinusitis,Respiratory,Mild,True,"Chronic Sinusitis is a chronic presentation of sinusitis, a respiratory condition."
DIS0126,Acute Conjunctivitis,Ophthalmological,Mild,False,"Acute Conjunctivitis is a acute presentation of conjunctivitis, a ophthalmological condition."
DIS0127,Early-Stage Skin Cancer,Oncological,Severe,True,"Early-Stage Skin Cancer is a early-stage presentation of skin cancer, a oncological condition."
DIS0128,Acute Psoriasis,Dermatological,Moderate,True,"Acute Psoriasis is a acute presentation of psoriasis, a dermatological condition."
DIS0129,Early-Stage Alzheimer's Disease,Neurological,Severe,True,"Early-Stage Alzheimer's Disease is a early-stage presentation of alzheimer's disease, a neurological condition."
DIS0130,Chronic Type 2 Diabetes Mellitus,Endocrine,Moderate,True,"Chronic Type 2 Diabetes Mellitus is a chronic presentation of type 2 diabetes mellitus, a endocrine condition."
DIS0131,Advanced Breast Cancer,Oncological,Severe,True,"Advanced Breast Cancer is a advanced presentation of breast cancer, a oncological condition."
DIS0132,Chronic Gallstones,Digestive,Moderate,True,"Chronic Gallstones is a chronic presentation of gallstones, a digestive condition."
DIS0133,Recurrent Pancreatitis,Digestive,Severe,True,"Recurrent Pancreatitis is a recurrent presentation of pancreatitis, a digestive condition."
DIS0134,Advanced Psoriasis,Dermatological,Moderate,True,"Advanced Psoriasis is a advanced presentation of psoriasis, a dermatological condition."
DIS0135,Recurrent Peptic Ulcer Disease,Digestive,Moderate,True,"Recurrent Peptic Ulcer Disease is a recurrent presentation of peptic ulcer disease, a digestive condition."
DIS0136,Atypical COVID-19,Respiratory,Moderate,False,"Atypical COVID-19 is a atypical presentation of covid-19, a respiratory condition."
DIS0137,Advanced Coronary Artery Disease,Cardiovascular,Severe,True,"Advanced Coronary Artery Disease is a advanced presentation of coronary artery disease, a cardiovascular condition."
DIS0138,Acute Heart Failure,Cardiovascular,Severe,True,"Acute Heart Failure is a acute presentation of heart failure, a cardiovascular condition."
DIS0139,Atypical Lower Back Strain,Musculoskeletal,Mild,False,"Atypical Lower Back Strain is a atypical presentation of lower back strain, a musculoskeletal condition."
DIS0140,Acute Hepatitis B,Infectious,Severe,True,"Acute Hepatitis B is a acute presentation of hepatitis b, a infectious condition."
DIS0141,Mild Irritable Bowel Syndrome,Digestive,Moderate,True,"Mild Irritable Bowel Syndrome is a mild presentation of irritable bowel syndrome, a digestive condition."
DIS0142,Atypical Heart Failure,Cardiovascular,Severe,True,"Atypical Heart Failure is a atypical presentation of heart failure, a cardiovascular condition."
DIS0143,Severe Irritable Bowel Syndrome,Digestive,Severe,True,"Severe Irritable Bowel Syndrome is a severe presentation of irritable bowel syndrome, a digestive condition."
DIS0144,Recurrent Heart Failure,Cardiovascular,Severe,True,"Recurrent Heart Failure is a recurrent presentation of heart failure, a cardiovascular condition."
DIS0145,Advanced HIV/AIDS,Infectious,Severe,True,"Advanced HIV/AIDS is a advanced presentation of hiv/aids, a infectious condition."
DIS0146,Early-Stage Stroke,Cardiovascular,Severe,False,"Early-Stage Stroke is a early-stage presentation of stroke, a cardiovascular condition."
DIS0147,Early-Stage Pharyngitis,Respiratory,Mild,False,"Early-Stage Pharyngitis is a early-stage presentation of pharyngitis, a respiratory condition."
DIS0148,Advanced Otitis Media,ENT,Mild,False,"Advanced Otitis Media is a advanced presentation of otitis media, a ent condition."
DIS0149,Atypical Bronchitis,Respiratory,Moderate,False,"Atypical Bronchitis is a atypical presentation of bronchitis, a respiratory condition."
DIS0150,Atypical Hepatitis A,Infectious,Moderate,False,"Atypical Hepatitis A is a atypical presentation of hepatitis a, a infectious condition."
DIS0151,Chronic Breast Cancer,Oncological,Severe,True,"Chronic Breast Cancer is a chronic presentation of breast cancer, a oncological condition."
DIS0152,Acute Colorectal Cancer,Oncological,Severe,True,"Acute Colorectal Cancer is a acute presentation of colorectal cancer, a oncological condition."
DIS0153,Advanced Appendicitis,Digestive,Severe,False,"Advanced Appendicitis is a advanced presentation of appendicitis, a digestive condition."
DIS0154,Recurrent Crohn's Disease,Digestive,Severe,True,"Recurrent Crohn's Disease is a recurrent presentation of crohn's disease, a digestive condition."
DIS0155,Atypical Type 1 Diabetes Mellitus,Endocrine,Severe,True,"Atypical Type 1 Diabetes Mellitus is a atypical presentation of type 1 diabetes mellitus, a endocrine condition."
DIS0156,Recurrent Malaria,Infectious,Severe,True,"Recurrent Malaria is a recurrent presentation of malaria, a infectious condition."
DIS0157,Recurrent Psoriasis,Dermatological,Moderate,True,"Recurrent Psoriasis is a recurrent presentation of psoriasis, a dermatological condition."
DIS0158,Mild Bipolar Disorder,Psychiatric,Severe,True,"Mild Bipolar Disorder is a mild presentation of bipolar disorder, a psychiatric condition."
DIS0159,Recurrent Generalized Anxiety Disorder,Psychiatric,Moderate,True,"Recurrent Generalized Anxiety Disorder is a recurrent presentation of generalized anxiety disorder, a psychiatric condition."
DIS0160,Severe Benign Prostatic Hyperplasia,Urological,Severe,True,"Severe Benign Prostatic Hyperplasia is a severe presentation of benign prostatic hyperplasia, a urological condition."
DIS0161,Early-Stage Prostate Cancer,Oncological,Severe,True,"Early-Stage Prostate Cancer is a early-stage presentation of prostate cancer, a oncological condition."
DIS0162,Mild Fungal Skin Infection,Dermatological,Mild,False,"Mild Fungal Skin Infection is a mild presentation of fungal skin infection, a dermatological condition."
DIS0163,Early-Stage Multiple Sclerosis,Neurological,Severe,True,"Early-Stage Multiple Sclerosis is a early-stage presentation of multiple sclerosis, a neurological condition."
DIS0164,Mild Peptic Ulcer Disease,Digestive,Moderate,True,"Mild Peptic Ulcer Disease is a mild presentation of peptic ulcer disease, a digestive condition."
DIS0165,Severe Appendicitis,Digestive,Severe,False,"Severe Appendicitis is a severe presentation of appendicitis, a digestive condition."
DIS0166,Mild Deep Vein Thrombosis,Cardiovascular,Severe,False,"Mild Deep Vein Thrombosis is a mild presentation of deep vein thrombosis, a cardiovascular condition."
DIS0167,Severe Urticaria,Dermatological,Severe,False,"Severe Urticaria is a severe presentation of urticaria, a dermatological condition."
DIS0168,Recurrent Bell's Palsy,Neurological,Moderate,True,"Recurrent Bell's Palsy is a recurrent presentation of bell's palsy, a neurological condition."
DIS0169,Severe Type 1 Diabetes Mellitus,Endocrine,Severe,True,"Severe Type 1 Diabetes Mellitus is a severe presentation of type 1 diabetes mellitus, a endocrine condition."
DIS0170,Acute Deep Vein Thrombosis,Cardiovascular,Severe,False,"Acute Deep Vein Thrombosis is a acute presentation of deep vein thrombosis, a cardiovascular condition."
DIS0171,Atypical Lupus,Immunological,Severe,True,"Atypical Lupus is a atypical presentation of lupus, a immunological condition."
DIS0172,Advanced Hepatitis C,Infectious,Severe,True,"Advanced Hepatitis C is a advanced presentation of hepatitis c, a infectious condition."
DIS0173,Recurrent COVID-19,Respiratory,Moderate,True,"Recurrent COVID-19 is a recurrent presentation of covid-19, a respiratory condition."
DIS0174,Mild Epilepsy,Neurological,Severe,True,"Mild Epilepsy is a mild presentation of epilepsy, a neurological condition."
DIS0175,Recurrent Food Allergy,Immunological,Moderate,True,"Recurrent Food Allergy is a recurrent presentation of food allergy, a immunological condition."
DIS0176,Atypical Insomnia Disorder,Psychiatric,Mild,True,"Atypical Insomnia Disorder is a atypical presentation of insomnia disorder, a psychiatric condition."
DIS0177,Recurrent Benign Prostatic Hyperplasia,Urological,Moderate,True,"Recurrent Benign Prostatic Hyperplasia is a recurrent presentation of benign prostatic hyperplasia, a urological condition."
DIS0178,Atypical Fungal Skin Infection,Dermatological,Mild,False,"Atypical Fungal Skin Infection is a atypical presentation of fungal skin infection, a dermatological condition."
DIS0179,Mild HIV/AIDS,Infectious,Severe,True,"Mild HIV/AIDS is a mild presentation of hiv/aids, a infectious condition."
DIS0180,Early-Stage Hypothyroidism,Endocrine,Moderate,True,"Early-Stage Hypothyroidism is a early-stage presentation of hypothyroidism, a endocrine condition."
DIS0181,Acute Eczema,Dermatological,Mild,True,"Acute Eczema is a acute presentation of eczema, a dermatological condition."
DIS0182,Acute Glaucoma,Ophthalmological,Severe,True,"Acute Glaucoma is a acute presentation of glaucoma, a ophthalmological condition."
DIS0183,Advanced Peptic Ulcer Disease,Digestive,Moderate,True,"Advanced Peptic Ulcer Disease is a advanced presentation of peptic ulcer disease, a digestive condition."
DIS0184,Early-Stage Irritable Bowel Syndrome,Digestive,Moderate,True,"Early-Stage Irritable Bowel Syndrome is a early-stage presentation of irritable bowel syndrome, a digestive condition."
DIS0185,Mild Pharyngitis,Respiratory,Mild,False,"Mild Pharyngitis is a mild presentation of pharyngitis, a respiratory condition."
DIS0186,Atypical Tuberculosis,Respiratory,Severe,True,"Atypical Tuberculosis is a atypical presentation of tuberculosis, a respiratory condition."
DIS0187,Recurrent Arrhythmia,Cardiovascular,Moderate,True,"Recurrent Arrhythmia is a recurrent presentation of arrhythmia, a cardiovascular condition."
DIS0188,Mild Migraine,Neurological,Moderate,True,"Mild Migraine is a mild presentation of migraine, a neurological condition."
DIS0189,Acute Gastroenteritis,Digestive,Moderate,False,"Acute Gastroenteritis is a acute presentation of gastroenteritis, a digestive condition."
DIS0190,Atypical Osteoporosis,Musculoskeletal,Moderate,True,"Atypical Osteoporosis is a atypical presentation of osteoporosis, a musculoskeletal condition."
DIS0191,Chronic Influenza,Respiratory,Moderate,True,"Chronic Influenza is a chronic presentation of influenza, a respiratory condition."
DIS0192,Mild Multiple Sclerosis,Neurological,Severe,True,"Mild Multiple Sclerosis is a mild presentation of multiple sclerosis, a neurological condition."
DIS0193,Mild Chronic Kidney Disease,Urological,Severe,True,"Mild Chronic Kidney Disease is a mild presentation of chronic kidney disease, a urological condition."
DIS0194,Acute Benign Prostatic Hyperplasia,Urological,Moderate,True,"Acute Benign Prostatic Hyperplasia is a acute presentation of benign prostatic hyperplasia, a urological condition."
DIS0195,Early-Stage Benign Prostatic Hyperplasia,Urological,Moderate,True,"Early-Stage Benign Prostatic Hyperplasia is a early-stage presentation of benign prostatic hyperplasia, a urological condition."
DIS0196,Early-Stage Bronchitis,Respiratory,Moderate,False,"Early-Stage Bronchitis is a early-stage presentation of bronchitis, a respiratory condition."
DIS0197,Acute Breast Cancer,Oncological,Severe,True,"Acute Breast Cancer is a acute presentation of breast cancer, a oncological condition."
DIS0198,Acute Malaria,Infectious,Severe,False,"Acute Malaria is a acute presentation of malaria, a infectious condition."
DIS0199,Acute Kidney Stones,Urological,Severe,False,"Acute Kidney Stones is a acute presentation of kidney stones, a urological condition."
DIS0200,Advanced Asthma,Respiratory,Moderate,True,"Advanced Asthma is a advanced presentation of asthma, a respiratory condition."
DIS0201,Mild Arrhythmia,Cardiovascular,Moderate,True,"Mild Arrhythmia is a mild presentation of arrhythmia, a cardiovascular condition."
DIS0202,Acute Sinusitis,Respiratory,Mild,False,"Acute Sinusitis is a acute presentation of sinusitis, a respiratory condition."
DIS0203,Advanced Epilepsy,Neurological,Severe,True,"Advanced Epilepsy is a advanced presentation of epilepsy, a neurological condition."
DIS0204,Mild Dengue Fever,Infectious,Severe,False,"Mild Dengue Fever is a mild presentation of dengue fever, a infectious condition."
DIS0205,Atypical Osteoarthritis,Musculoskeletal,Moderate,True,"Atypical Osteoarthritis is a atypical presentation of osteoarthritis, a musculoskeletal condition."
DIS0206,Atypical Multiple Sclerosis,Neurological,Severe,True,"Atypical Multiple Sclerosis is a atypical presentation of multiple sclerosis, a neurological condition."
DIS0207,Early-Stage Gout,Musculoskeletal,Moderate,True,"Early-Stage Gout is a early-stage presentation of gout, a musculoskeletal condition."
DIS0208,Atypical Gout,Musculoskeletal,Moderate,True,"Atypical Gout is a atypical presentation of gout, a musculoskeletal condition."
DIS0209,Recurrent Acne Vulgaris,Dermatological,Mild,True,"Recurrent Acne Vulgaris is a recurrent presentation of acne vulgaris, a dermatological condition."
DIS0210,Atypical Urinary Tract Infection,Urological,Mild,False,"Atypical Urinary Tract Infection is a atypical presentation of urinary tract infection, a urological condition."
DIS0211,Recurrent Prostate Cancer,Oncological,Severe,True,"Recurrent Prostate Cancer is a recurrent presentation of prostate cancer, a oncological condition."
DIS0212,Severe HIV/AIDS,Infectious,Severe,True,"Severe HIV/AIDS is a severe presentation of hiv/aids, a infectious condition."
DIS0213,Mild Gout,Musculoskeletal,Moderate,True,"Mild Gout is a mild presentation of gout, a musculoskeletal condition."
DIS0214,Acute Chickenpox,Infectious,Mild,False,"Acute Chickenpox is a acute presentation of chickenpox, a infectious condition."
DIS0215,Mild Gastroenteritis,Digestive,Moderate,False,"Mild Gastroenteritis is a mild presentation of gastroenteritis, a digestive condition."
DIS0216,Chronic Type 1 Diabetes Mellitus,Endocrine,Severe,True,"Chronic Type 1 Diabetes Mellitus is a chronic presentation of type 1 diabetes mellitus, a endocrine condition."
DIS0217,Chronic Chronic Kidney Disease,Urological,Severe,True,"Chronic Chronic Kidney Disease is a chronic presentation of chronic kidney disease, a urological condition."
